# MSE	MAE	PR	
1.363761003652475665e+02 7.618913774894946478e+00 8.004933051937275501e-02
5.983264661601209156e+01 5.694734044901530012e+00 4.555644031659876747e-01
6.509359105905218712e+01 5.938003154269131834e+00 2.665619060530992623e-01
6.937596463736522878e+01 5.878631899261473670e+00 4.649032658588951872e-01
6.366486501460952496e+01 5.858588271447383811e+00 3.309696654202495258e-01
5.957218214099521703e+01 5.353249281634706591e+00 4.651966475927959976e-01
1.178721199497745289e+02 7.530332645855527751e+00 3.492583301621522696e-02
4.497020295078311136e+01 4.884808645081520240e+00 4.869310138496317775e-01
4.661759971176731199e+01 4.799681996130943595e+00 2.959699215424523300e-01
1.000690298612549611e+02 6.864510872292519217e+00 3.422060239669409976e-01
