# MSE	MAE	PR	
3.939369908904023987e+01 5.064183923270485721e+00 7.951496095571183309e-01
3.361995936932743945e+01 4.104954755771521135e+00 8.067479013915208608e-01
2.500669654122377850e+01 3.547699053515809720e+00 7.756078948669578033e-01
4.207272654322395766e+01 4.766844524476022471e+00 7.157984677182546163e-01
3.209932841304883766e+01 3.829338134765625234e+00 7.182350468658285081e-01
3.971353145142597896e+01 4.687243697703968870e+00 7.798280642541420837e-01
3.363081834897617028e+01 4.120665544056892671e+00 7.916943319560634240e-01
3.790234847775346338e+01 4.767589109945297388e+00 6.540829247775417077e-01
1.921323913529605676e+01 3.283858838176727524e+00 6.565084761085748788e-01
5.604028149744498677e+01 4.944646963787078242e+00 6.750614566644095316e-01
