# MSE	MAE	PR	
3.568710765993683509e+01 4.630928087361653844e+00 8.966841118974009373e-01
2.222354924893982897e+01 3.837012580686626873e+00 7.644583700006202243e-01
3.782335938252666097e+01 4.334324545288085417e+00 8.343721804790974472e-01
3.116814225020743834e+01 4.242108617424242389e+00 7.379495185695152948e-01
2.650352501723808629e+01 3.925029313104802853e+00 7.872855207147774204e-01
2.496804717787322403e+01 3.832604773411606658e+00 7.576095237924271864e-01
2.730144467554627852e+01 3.813421344733960883e+00 8.080433448915274042e-01
2.809517076362643451e+01 4.110081018135764985e+00 7.831668292852410618e-01
3.771510463359753373e+01 4.229281564807891414e+00 6.604973838761892813e-01
5.188212028380873164e+01 4.494750309443473313e+00 6.511139993544508009e-01
