# MSE	MAE	PR	
1.831832780503518165e+02 9.640561432787853491e+00 1.153316721218280716e-01
1.700348485401541723e+02 9.669562233525798689e+00 -4.148249042968185640e-02
1.360123346275195786e+02 9.639712937981297358e+00 3.633071693813795244e-01
8.320645390475341685e+01 8.095034527516926204e+00 6.537875539048036977e-01
1.208933873239478487e+02 9.141436412717100168e+00 2.226426123519773259e-01
1.080824643450066702e+02 8.412210890557336285e+00 5.116969409598812746e-01
1.545034899499639494e+02 9.639151481898769802e+00 3.278358316366302150e-01
9.584596391385112213e+01 7.555526733049474863e+00 3.178739625621098130e-01
8.926909214273689486e+01 7.132059579291037288e+00 4.186845841335183338e-01
1.655669226483423415e+02 9.782859043919977182e+00 2.916466581378708289e-01
