# MSE	MAE	PR	
1.155354059811223948e+02 8.314215062468550244e+00 4.870818276553398607e-01
9.967056289766335908e+01 7.150364844019859945e+00 2.785763571633636526e-01
9.109903083599610341e+01 8.180119892986196461e+00 5.371634602993942131e-01
7.300980626992500788e+01 6.976653058684654241e+00 5.715504775465549692e-01
1.016506993073179217e+02 8.321043701325773867e+00 3.565833368915693469e-01
8.978436548735970746e+01 7.212556599557152559e+00 6.998029703365364895e-01
8.260158742987438529e+01 7.261133348872007787e+00 5.365914206545696619e-01
1.179941047363285520e+02 8.663954124258689049e+00 3.957246209203600928e-01
3.966988152208076457e+01 5.153494316991871216e+00 7.445987052632916381e-01
1.084942741155405912e+02 7.334233211574371580e+00 5.695686305836565877e-01
