# MSE	MAE	PR	
6.847484956545298473e+01 6.641904853079814153e+00 6.422569884202361523e-01
7.552818445892681609e+01 6.050602953003170192e+00 5.026454304322739430e-01
6.245374517869056774e+01 5.943318435384703058e+00 7.182717358396497609e-01
5.337168169493273240e+01 5.567418559927910238e+00 5.881753724353996349e-01
7.198665976123140808e+01 6.839445435375238525e+00 5.657172329964997859e-01
5.525433916800657386e+01 6.343919941607631507e+00 5.410859431850363332e-01
5.738162762412927975e+01 6.080314485918781209e+00 5.971638672701337081e-01
4.953113657915883294e+01 5.330015668647642535e+00 6.684519706228756464e-01
5.491711321140894597e+01 6.537392095621973986e+00 7.974446432690616149e-01
8.710344502228052477e+01 6.881958813896652316e+00 6.402423756990167636e-01
