# MSE	MAE	PR	
8.552939254814133108e+01 6.576741828115325816e+00 3.418338511251354239e-01
4.188377862414910879e+01 4.695607503393275373e+00 5.373392917190830120e-01
4.231477274180488735e+01 4.823930628938824405e+00 4.632091920092730186e-01
3.850025803487864806e+01 4.372412288142192516e+00 6.059781852546831660e-01
4.462492232394999547e+01 5.590043641679278252e+00 4.161537149771959432e-01
4.401694433455693201e+01 4.731874430706406898e+00 5.418829339343161910e-01
5.620405167437609606e+01 5.591474515601162487e+00 3.547540772112642293e-01
3.940854727184179751e+01 5.340506355995098708e+00 6.215922584183315447e-01
2.547567182312034006e+01 3.822094235012400976e+00 5.970926861985670353e-01
6.660769199793833195e+01 5.140790076998865032e+00 5.673630659923356578e-01
