# MSE	MAE	PR	
2.459523349729489539e+01 3.608550936248852814e+00 8.252995445966232468e-01
2.038559348291031625e+01 3.260042662341848363e+00 8.283088756483137916e-01
2.350331560991110891e+01 3.865575343466885361e+00 7.499415103582857123e-01
1.836217031228732566e+01 2.823867624798956033e+00 8.311780267549478962e-01
2.053421831219507254e+01 3.440600879052912120e+00 7.709907310371364453e-01
2.565012013038125005e+01 3.541296087448571495e+00 8.041395032073366256e-01
1.559570996297116707e+01 2.904244551399456142e+00 8.488874612950200182e-01
2.456939371314959430e+01 3.936231630104713552e+00 7.138377722112727586e-01
1.168759489625441894e+01 2.689885071594155797e+00 7.933606897076717068e-01
3.772655978291723500e+01 3.814798518298271990e+00 7.901952354761239139e-01
