# MSE	MAE	PR	
2.535697635070728140e+01 3.520383240900846200e+00 8.223537272578799184e-01
1.677250961439646915e+01 3.118909038381017851e+00 8.038902613689911103e-01
1.932200688723261806e+01 3.152735104521313225e+00 8.562659168290756018e-01
1.385059478142161815e+01 2.982312713687140349e+00 8.308201753357058461e-01
1.582676752640020013e+01 2.767227932904475551e+00 8.042762545516639605e-01
9.215236661460904699e+00 2.354211556832368046e+00 8.849384031974131259e-01
2.151553163396728863e+01 3.215243344202700637e+00 8.051802998494386188e-01
2.189279336861979175e+01 3.698787548342938880e+00 7.639030950100527129e-01
2.321494222261173235e+01 3.579616810929870940e+00 7.885347245471713284e-01
3.790392423476408368e+01 3.473495075677329069e+00 7.223966894993756327e-01
