# MSE	MAE	PR	
4.035934694690480029e+01 4.469995081705520512e+00 5.976692494938954381e-01
6.018896677826178632e+01 5.872481930093025326e+00 3.710223099777788525e-01
5.248374326358486286e+01 5.091489510621751258e+00 5.225232866703335421e-01
3.471154183115322667e+01 4.609769113615866942e+00 5.916157362853939894e-01
4.756187515190146087e+01 4.956081376180087261e+00 5.831662713197188763e-01
4.139766405022022155e+01 5.075919277928816697e+00 3.649473983646719932e-01
3.084098060226876115e+01 4.369404833249586950e+00 6.407052401245035833e-01
4.705860514780373194e+01 4.786815195321922012e+00 5.375175806666303568e-01
3.687081009615063465e+01 4.627668284485892514e+00 5.370754904179522171e-01
6.639192904369176063e+01 4.898270110810873490e+00 6.108114981448546921e-01
