# MSE	MAE	PR	
2.589268824557935744e+01 3.783431264844721476e+00 8.107555119576276281e-01
2.125945372697692193e+01 3.503834616493086695e+00 8.289686043232620261e-01
2.317922955166694976e+01 3.843625600471997306e+00 7.546613858198005786e-01
1.919656310541263977e+01 2.860223659084522918e+00 8.176721358551907182e-01
2.419178736549011433e+01 3.654868550219729784e+00 7.363853123751079588e-01
2.740798521865064785e+01 3.977012081745236127e+00 7.769915736342154489e-01
1.417024624108543485e+01 3.059005962561943903e+00 8.584474028463826567e-01
2.269653622358260847e+01 3.732888121305003359e+00 7.411215749807051889e-01
1.220044145587410611e+01 2.694759792496091322e+00 8.100780648151251206e-01
4.071891261380901739e+01 4.018199394083100451e+00 7.697797388633342841e-01
