# MSE	MAE	PR	
7.887319103958320454e+01 6.138053148958496408e+00 4.310792568755197340e-01
4.593684192168305458e+01 5.037280048292033463e+00 4.917022457309380146e-01
4.216348531304257818e+01 4.755818468395813348e+00 4.768537121031611870e-01
3.745669770201864424e+01 4.474115060327438442e+00 6.041479682631964998e-01
4.970563160158814497e+01 5.595175134619898571e+00 3.223100199632032981e-01
3.931125110704834213e+01 4.353837247299586544e+00 6.095403959796482640e-01
6.058290065487665288e+01 5.730106118612963151e+00 2.801789703483691385e-01
3.575847539638888861e+01 5.144653763477031738e+00 6.482023373150161971e-01
2.599062419243684019e+01 3.853995870202275409e+00 6.081326466366838712e-01
7.108505877443646170e+01 5.334200081902134016e+00 4.864907462496077528e-01
