# MSE	MAE	PR	
1.703530609842011856e+01 3.164928185954143824e+00 8.856170919688557408e-01
1.476532777978850852e+01 2.693591190731292606e+00 8.812399873748162360e-01
2.508167510764907249e+01 3.863721329385051195e+00 7.368869636182342475e-01
2.637802959027782990e+01 3.258356260511891644e+00 7.462957329563577602e-01
2.407676962383512986e+01 3.617614750017830172e+00 7.228965069018586931e-01
2.941002045347821792e+01 3.611580115696468862e+00 7.576323681313754665e-01
1.311615964286179192e+01 2.649946040034875772e+00 8.680896612423345537e-01
2.246509156720583889e+01 3.614147479249854911e+00 7.431088182262506336e-01
1.256625597462555177e+01 2.620208143810929258e+00 7.734544508277059194e-01
3.336306013796139780e+01 3.575717121023078704e+00 8.091091333156577026e-01
