# MSE	MAE	PR	
1.707688460661984209e+01 2.963754852777714888e+00 8.973376067371524600e-01
1.622775132435600298e+01 2.754498665041865912e+00 8.023076160436269921e-01
1.318884462241780220e+01 2.508743799770894345e+00 9.200545564751175798e-01
1.290935465372217728e+01 2.690188518369741821e+00 8.447103751314304354e-01
1.785592492450289726e+01 2.925540368888506659e+00 7.758156297385665479e-01
9.203956356862995847e+00 2.373017004627107074e+00 8.788965169192770599e-01
1.896692558308096466e+01 2.953973098731200952e+00 8.329973971403755728e-01
2.013549345238349986e+01 3.264635582602758213e+00 7.827384202901490617e-01
2.243719458726308602e+01 3.466672590599772619e+00 7.948404442736025644e-01
3.396135798809205397e+01 3.273717234210665517e+00 7.573783815690372512e-01
