# MSE	MAE	PR	
8.788156597273372483e+01 6.121485060030011915e+00 3.691249589627982330e-01
4.922157202709578172e+01 4.770185089949690038e+00 4.524569315956919469e-01
4.563521237446131806e+01 4.563208117246979612e+00 5.121450862453746922e-01
3.913833185911422419e+01 4.149741522240284475e+00 6.730387000583748502e-01
4.327685370197860237e+01 5.008163693285469620e+00 4.879650594571161570e-01
4.769272534549262588e+01 4.624906749585281140e+00 5.327771488447966552e-01
6.155445910290988820e+01 5.369396054561435427e+00 3.461203661176928126e-01
3.663285742471079232e+01 4.476999399628687648e+00 6.257465018705236082e-01
2.920575035121873242e+01 3.938241253760887517e+00 5.367157711480770033e-01
7.721703574747768073e+01 5.464478895846580642e+00 5.585242641028136390e-01
