# MSE	MAE	PR	
3.102194814916186516e+01 4.148841386393181452e+00 8.505656180563101465e-01
2.415705425112149740e+01 3.883486284828966184e+00 7.677798207738956160e-01
1.436399860822374563e+01 2.828081860123922819e+00 8.748651009728789507e-01
2.007090747216653881e+01 2.774111528482746447e+00 7.860010822272197606e-01
1.283711311914089137e+01 3.004556971363174789e+00 8.633732809754318671e-01
2.993657743315036512e+01 3.679809230555940225e+00 8.163433919610387779e-01
2.598454421815660709e+01 3.750888127130329597e+00 7.789674666653300106e-01
2.173678181482879523e+01 3.515085314240459446e+00 7.949568343182336072e-01
1.606166608529640172e+01 2.950035125077106635e+00 7.790803919749373918e-01
4.215911567165632334e+01 4.116332657523020799e+00 7.625852323338258021e-01
