# MSE	MAE	PR	
3.314572903796430126e+01 3.616690734361314608e+00 8.038399232605086819e-01
1.928763303025722564e+01 2.819694528582629367e+00 7.552260024793271409e-01
2.150087280814261348e+01 3.131557149671977847e+00 9.063103757953988593e-01
1.293024895970967059e+01 2.730876662673516364e+00 8.587274347479734171e-01
2.038494811400271089e+01 2.988530387695002677e+00 7.634650350260180351e-01
1.529354820635746570e+01 2.973183818478879470e+00 8.217014449344184346e-01
2.423359083830316862e+01 3.031470310822130365e+00 7.927091390995233411e-01
2.045541044921374052e+01 3.520471372356286377e+00 7.954946205868379527e-01
2.535010638524460802e+01 3.373873416509135303e+00 8.002035541736483015e-01
4.311634158905046377e+01 3.586661126221563300e+00 7.036927777408293894e-01
